"TAIR10.id","logFC","minusLOG10.adj.pVal"
"AT1G01010",0.0937582389992282,0.243703731103971
"AT1G01020",-0.11008714362407,0.475080935963087
"AT1G01030",0.556579575791349,0.190172575182958
"AT1G01040",-0.223806499522709,1.77411348329332
"AT1G01050",0.0513506539990942,0.201840368568128
"AT1G01060",-0.0121220722542681,0.0670725463889857
"AT1G01070",0.090410039218856,0.309586253708144
"AT1G01080",0.269411472092399,2.60735912159809
"AT1G01090",0.00144465236570479,0.00806080666142135
"AT1G01100",-0.104195949119473,0.48763708918649
"AT1G01110",0.360696004396131,0.955158333088346
"AT1G01120",0.0379132696747515,0.0924517732783874
"AT1G01130",0.00622605282667066,0.00530377079264614
"AT1G01140",-0.00397157937219372,0.017062203887044
"AT1G01160",-0.215094322291617,1.18497658096161
"AT1G01170",0.187265349504841,1.11785962217238
"AT1G01180",0.164664890984878,0.800952788866075
"AT1G01190",0.171944662282681,0.333935785422991
"AT1G01200",0.183569495554322,0.447727754338852
"AT1G01210",7.80530483117658e-05,0.000174704707868548
"AT1G01220",-0.182794884824864,1.71563369159824
"AT1G01225",-0.308352498647898,0.716233113162877
"AT1G01230",0.0288605063286695,0.136004910098525
"AT1G01240",-0.0802044838257401,0.480377183292628
"AT1G01250",-0.0551065483520183,0.0407758071035033
"AT1G01260",-0.0351903746157425,0.142882949389748
"AT1G01290",0.152064807032089,0.675143251331221
"AT1G01300",0.262434022546127,2.09457045699228
"AT1G01320",-0.0354050719469292,0.159228645650869
"AT1G01340",0.1959474579181,0.708627030240641
"AT1G01350",-0.0476413249041325,0.16637386969089
"AT1G01360",0.0689994841222132,0.245852136297616
"AT1G01370",0.0903075219603855,0.150335686544878
"AT1G01380",-0.0356834173569924,0.0574573182770362
"AT1G01390",0.626605229342191,0.505123885916643
"AT1G01420",0.0999215657651913,0.674115923582138
"AT1G01430",0.177839587839006,1.6402797323058
"AT1G01440",-0.104900783080376,0.60919265567968
"AT1G01448",0.0450871967418291,0.231460812765932
"AT1G01470",-0.10750962428363,0.454002601148213
"AT1G01480",-0.00979903653415382,0.00730528662426919
"AT1G01490",0.109729513030058,0.592729076485964
"AT1G01500",-0.195403121110844,0.995223742852655
"AT1G01510",-0.0350187868352325,0.228040709133258
"AT1G01520",0.115623841659156,0.56162954360488
"AT1G01540",-0.0433002634737436,0.184817109802507
"AT1G01550",0.13531800548645,1.68070831155173
"AT1G01560",-0.824492964871704,0.782334759908518
"AT1G01570",0.256111886787315,0.406362360569785
"AT1G01580",-1.13281512172081,0.529232712289737
"AT1G01590",0.267273174466,0.616926844220683
"AT1G01600",0.574080850093486,0.634370905632777
"AT1G01610",0.0225163562416943,0.0605537013634102
"AT1G01620",0.223717542801847,2.09037334665524
"AT1G01630",0.0997340929755985,0.594349944392582
"AT1G01640",0.330296107147826,0.468413573327173
"AT1G01650",0.0384982991560037,0.162035442768597
"AT1G01660",-0.413369376971017,0.357208420494241
"AT1G01670",0.0936968061268174,0.11107315838961
"AT1G01680",-0.573315861675473,0.551875401560395
"AT1G01690",-0.0424419775139973,0.0854301561561673
"AT1G01700",-0.319673751988911,0.45228978806161
"AT1G01710",0.0961266579996733,0.668877055027662
"AT1G01720",0.196910261395237,1.23941388749253
"AT1G01725",0.141362619040992,0.366301904065694
"AT1G01730",0.0822509002184226,0.330905856836562
"AT1G01740",0.0225115451880686,0.0771633953178506
"AT1G01760",-0.0194207116957186,0.0385839363571147
"AT1G01770",0.03465998346039,0.143032583001148
"AT1G01780",-0.0127811794052004,0.0274981764966029
"AT1G01790",0.034273642303976,0.14136738022504
"AT1G01800",0.0437544306473105,0.215200658958384
"AT1G01810",0.562730430881559,0.716938261140695
"AT1G01820",-0.0162905533802231,0.0775454337550617
"AT1G01830",0.0118484322837955,0.0445989845898446
"AT1G01840",0.120518136775125,0.150991641241276
"AT1G01860",0.101542093661271,0.528887346578814
"AT1G01880",-0.260122152523209,0.670597900457474
"AT1G01900",-0.100450706119023,0.29432645451563
"AT1G01910",0.0118562679435641,0.0671650734329797
"AT1G01920",-0.00406226501490625,0.0148013702385192
"AT1G01930",0.0786975385977851,0.363441258760883
"AT1G01940",-0.0276248153533509,0.0806181339344498
"AT1G01950",-0.0397815038069993,0.194331953665683
"AT1G01960",0.0176224213907732,0.0647547267988979
"AT1G01970",-0.0113046926000679,0.052653370361641
"AT1G01990",0.101277632606732,0.573849523132842
"AT1G02000",0.0792704732716194,0.382555847585239
"AT1G02010",-0.0564068391301999,0.332686874709234
"AT1G02020",0.0422694087455722,0.177566485253146
"AT1G02030",1.05540679308717,0.948714495901138
"AT1G02050",-0.176354341983389,0.790022796183757
"AT1G02060",-0.148534049321575,0.611241943789311
"AT1G02080",-0.0328050974243297,0.0886869824156487
"AT1G02090",-0.0400888671872828,0.181516799355236
"AT1G02100",-0.045858626748343,0.245160411036943
"AT1G02110",-0.0650795194266705,0.408177224320119
"AT1G02120",-0.0681784357352928,0.599416720738508
"AT1G02130",0.119432141268739,1.27990126003946
"AT1G02140",0.0528284377625141,0.293878609302914
"AT1G02145",0.081045546562919,0.573121197255864
"AT1G02150",-0.0422975595548776,0.247777311675721
"AT1G02160",0.137499987145357,0.418594005297875
"AT1G02170",0.158148634770253,0.864969450231273
"AT1G02180",-0.155217003488348,0.51707966601231
"AT1G02205",1.95046388709764,1.17865117322943
"AT1G02220",-0.445133965813821,0.995970875105776
"AT1G02230",1.31730695739121,0.792004092028488
"AT1G02260",-0.0383383150720467,0.0608406948760336
"AT1G02270",0.0626896482067987,0.32075140106041
"AT1G02280",-0.0660645744258002,0.28259281948282
"AT1G02290",-0.0458169113885996,0.233629757920621
"AT1G02300",-0.00090284656110251,0.00190667229118933
"AT1G02305",-0.0194020612164643,0.0795288115512665
"AT1G02330",0.05225627275333,0.178516918933374
"AT1G02335",0.199322408802568,0.469716930317402
"AT1G02340",1.311905385638,10.9141293347827
"AT1G02350",0.293282268343614,0.307986183783923
"AT1G02360",-0.193628610564846,0.191440280463066
"AT1G02370",-0.262879882935525,0.917515699451437
"AT1G02380",0.0988251322270637,0.195187136228486
"AT1G02390",-0.355011763089165,0.536406254998283
"AT1G02400",-0.164410215269191,0.181764998444257
"AT1G02410",-0.0192172935382371,0.0778552470426145
"AT1G02420",0.0507896754192634,0.131554568327318
"AT1G02460",0.492254789277711,0.469487430186912
"AT1G02470",0.612515486138616,0.910987043921524
"AT1G02475",0.290612762614153,2.29980738207625
"AT1G02500",-0.0113297313841567,0.0590323997914357
"AT1G02520",0.125490792743983,0.234084736354141
